Genre,Title,Author,Rating,Number of Reviews,Publication Date,URL
fiction,1984,George Orwell,4.2,146771,"First published June 8, 1949",https://www.goodreads.com/book/show/61439040-1984
fiction,To Kill a Mockingbird,Harper Lee,4.26,129482,"First published July 11, 1960",https://www.goodreads.com/book/show/56916837-to-kill-a-mockingbird
fiction,The Great Gatsby,F. Scott Fitzgerald,3.93,125022,"First published April 10, 1925",https://www.goodreads.com/book/show/41733839-the-great-gatsby
fiction,Animal Farm,George Orwell,4.01,125025,"First published August 17, 1945",https://www.goodreads.com/book/show/170448.Animal_Farm
fiction,Harry Potter and the Philosopherâ€™s Stone,J.K. Rowling,4.47,186491,"First published June 26, 1997",https://www.goodreads.com/book/show/42844155-harry-potter-and-the-philosopher-s-stone
fiction,The Catcher in the Rye,J.D. Salinger,3.8,99101,"First published July 16, 1951",https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
fiction,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/2767052-the-hunger-games
fiction,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/18144590-the-alchemist
fiction,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/34454589-the-handmaid-s-tale
fiction,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/129915654-pride-and-prejudice
fiction,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/17165596-the-kite-runner
fiction,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/13079982-fahrenheit-451
mystery,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
mystery,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express
mystery,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/19288043-gone-girl
mystery,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo
mystery,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder
mystery,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train
mystery,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/55019161-the-da-vinci-code
mystery,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/40097951-the-silent-patient
mystery,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/52843028-the-mysterious-affair-at-styles
mystery,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/52439531-the-inheritance-games
mystery,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/58679358-one-of-us-is-lying
mystery,Not Available,Not Available,,Not Available,Not Available,https://www.goodreads.com/book/show/46000520-the-thursday-murder-club
